,Trig,Date,Time UT,Ra,Dec,Sat
97,640303939,2021-04-16,22:12:15,249.67,-67.52,Fermi
98,640353092,2021-04-17,11:51:27,122.7,-48.6,Fermi
99,640393072,2021-04-17,22:57:47,163.9,-6.117,Fermi
100,640559433,2021-04-19,21:10:28,307.02,0.07,Fermi
101,640588174,2021-04-20,5:09:29,253.04,22.36,Fermi
102,640646809,2021-04-20,21:26:44,77.55,-60.283,Fermi
103,640728778,2021-04-21,20:12:53,198.68,-13.35,Fermi
104,640982416,2021-04-24,18:40:11,23.75,12.98,Fermi
105,640975205,2021-04-24,16:40:01,186.36,37.78,Fermi
106,641042067,2021-04-25,11:14:22,333.2,67.25,Fermi
107,641017296,2021-04-25,4:21:31,243.95,-45.53,Fermi
108,641009305,2021-04-25,2:08:21,197.083,-52.75,Fermi
109,641078722,2021-04-25,21:25:18,41.517,13.1,Fermi
110,641170348,2021-04-26,22:52:23,105.467,62.283,Fermi
111,641127444,2021-04-26,10:57:19,300.883,-60.533,Fermi
112,641192237,2021-04-27,4:57:13,174.24,-52.69,Fermi
113,641201117,2021-04-27,7:25:12,220.567,15.5,Fermi
114,641315537,2021-04-28,15:12:13,317.25,60.767,Fermi
115,641511742,2021-04-30,21:42:18,348.21,8.34,Fermi
116,641537705,2021-05-01,4:55:00,33.44,-77.89,Fermi
117,641601187,2021-05-01,22:33:02,195.9,46.26,Fermi
118,641592039,2021-05-01,20:00:34,186.983,-83.517,Fermi
119,641732232,2021-05-03,10:57:08,167.883,-76.317,Fermi
120,641763254,2021-05-03,19:34:09,328.93,66.03,Fermi
121,641862052,2021-05-04,23:00:47,65.06,49.06,Fermi
122,641806337,2021-05-04,7:32:12,48.433,-40.267,Fermi
123,641848886,2021-05-04,19:21:21,102.45,70.05,Fermi
124,641891998,2021-05-05,7:19:53,101.617,-28.417,Fermi
125,642106916,2021-05-07,19:01:51,31.467,9.417,Fermi
126,642105643,2021-05-07,18:40:38,285.86,-7.49,Fermi
127,642205660,2021-05-08,22:27:35,179.383,-14.567,Fermi
128,642261225,2021-05-09,13:53:40,47.017,17.667,Fermi
129,642367205,2021-05-10,19:20:01,194.07,36.81,Fermi
130,642423542,2021-05-11,10:58:57,253.79,69.34,Fermi
131,642425204,2021-05-11,11:26:39,316.18,61.69,Fermi
132,642459088,2021-05-11,20:51:24,92.95,47.333,Fermi
133,642538568,2021-05-12,18:56:03,146.18,14.18,Fermi
134,642647227,2021-05-14,1:07:03,54.9,-22.383,Fermi
135,642783411,2021-05-15,14:56:46,315.17,45.71,Fermi
136,642776810,2021-05-15,13:06:46,138.68,74.18,Fermi
137,642773235,2021-05-15,12:07:11,326.533,-33.717,Fermi
138,642900891,2021-05-16,23:34:47,347.017,67.633,Fermi
139,642991619,2021-05-18,0:46:55,4.69,-1.6,Fermi
140,643035854,2021-05-18,13:04:10,270.01,49.61,Fermi
141,643065622,2021-05-18,21:20:18,192.85,36.92,Fermi
142,643099138,2021-05-19,6:38:54,187.87,-40.23,Fermi
143,643079074,2021-05-19,1:04:29,275.433,75.717,Fermi
144,210520797,2021-05-20,19:07:02,123.0,-69.4,Fermi
145,643223451,2021-05-20,17:10:46,267.517,39.367,Fermi
146,643230427,2021-05-20,19:07:03,149.21,-68.06,Fermi
147,643266386,2021-05-21,5:06:21,199.9,10.817,Fermi
148,643264789,2021-05-21,4:39:45,207.67,-63.6,Fermi
149,643411899,2021-05-22,21:31:34,253.417,-7.617,Fermi
150,643358933,2021-05-22,6:48:49,26.883,-65.1,Fermi
151,643548039,2021-05-24,11:20:35,147.77,5.14,Fermi
152,643525204,2021-05-24,4:59:59,339.12,-46.52,Fermi
153,643903431,2021-05-28,14:03:46,134.08,-15.27,Fermi
154,644025222,2021-05-29,23:53:37,230.01,36.34,Fermi
155,643997729,2021-05-29,16:15:25,104.91,-31.16,Fermi
156,644155206,2021-05-31,12:00:02,135.79,3.81,Fermi
157,644211962,2021-06-01,3:45:57,285.633,-4.167,Fermi
158,644260938,2021-06-01,17:22:14,276.16,11.09,Fermi
159,644359567,2021-06-02,20:46:02,210.93,-26.94,Fermi
160,644449593,2021-06-03,21:46:28,145.88,-62.12,Fermi
161,644597763,2021-06-05,14:55:58,16.52,-7.73,Fermi
162,644562543,2021-06-05,5:08:58,21.67,-41.51,Fermi
163,644644567,2021-06-06,3:56:02,180.37,3.97,Fermi
164,644653223,2021-06-06,6:20:18,193.6,40.95,Fermi
165,644712030,2021-06-06,22:40:25,77.767,-31.65,Fermi
166,644793834,2021-06-07,21:23:49,131.5,-48.67,Fermi
167,645047470,2021-06-10,19:51:05,241.54,12.4,Fermi
168,645030227,2021-06-10,15:03:43,212.24,11.76,Fermi
169,645382781,2021-06-14,16:59:36,289.633,-28.383,Fermi
170,645492838,2021-06-15,23:33:54,342.87,60.42,Fermi
171,645485036,2021-06-15,21:23:51,116.27,12.8,Fermi
172,645628644,2021-06-17,13:17:19,181.483,40.45,Fermi
173,645673421,2021-06-18,1:43:36,227.77,42.47,Fermi
174,645799548,2021-06-19,12:45:44,73.88,12.49,Fermi
175,645857659,2021-06-20,4:54:14,288.05,45.63,Fermi
176,645898850,2021-06-20,16:20:45,183.967,53.167,Fermi
177,645965048,2021-06-21,10:44:04,225.58,-63.83,Fermi
178,646050786,2021-06-22,10:33:02,131.67,-11.64,Fermi
179,646018360,2021-06-22,1:32:36,242.05,-14.1,Fermi
180,646189108,2021-06-24,0:58:23,119.32,87.11,Fermi
181,646194855,2021-06-24,2:34:10,294.21,26.1,Fermi
182,646349006,2021-06-25,21:23:21,265.16,-33.64,Fermi
183,646322348,2021-06-25,13:59:04,89.333,26.833,Fermi
184,646358405,2021-06-26,0:00:00,253.7,66.05,Fermi
185,646443989,2021-06-26,23:46:25,354.13,9.6,Fermi
186,646388180,2021-06-26,8:16:16,215.97,-4.24,Fermi
187,646518605,2021-06-27,20:30:01,242.967,-3.5,Fermi
188,646471760,2021-06-27,7:29:16,159.01,47.3,Fermi
189,646509445,2021-06-27,17:57:21,234.13,-8.01,Fermi
190,646537079,2021-06-28,1:37:54,58.117,-71.133,Fermi
191,646812338,2021-07-01,6:05:33,124.783,-35.033,Fermi
192,646862474,2021-07-01,20:01:10,313.62,-15.4,Fermi
193,646818439,2021-07-01,7:47:14,193.7,78.6,Fermi
194,647120009,2021-07-04,19:33:25,163.73,58.86,Fermi
195,647108723,2021-07-04,16:25:19,203.44,-41.87,Fermi
196,647120007,2021-07-04,19:33:27,159.084,57.309,Fermi
197,647236214,2021-07-06,3:50:10,323.3,38.483,Fermi
198,647252274,2021-07-06,8:17:50,313.96,12.36,Fermi
199,647271699,2021-07-06,13:41:34,113.95,-49.14,Fermi
200,647365516,2021-07-07,15:45:11,300.91,32.22,Fermi
201,647310816,2021-07-07,0:33:32,284.79,19.03,Fermi
202,647427826,2021-07-08,9:03:42,317.317,12.333,Fermi
203,647522278,2021-07-09,11:17:54,283.75,14.617,Fermi
204,647498949,2021-07-09,4:49:04,295.28,-44.22,Fermi
205,647624281,2021-07-10,15:37:57,293.04,20.99,Fermi
206,647641569,2021-07-10,20:26:04,285.98,26.81,Fermi
207,647653174,2021-07-10,23:39:29,294.65,16.9,Fermi
208,647682470,2021-07-11,7:47:46,301.7,25.417,Fermi
209,647805873,2021-07-12,18:04:28,284.12,23.01,Fermi
210,647775795,2021-07-12,9:43:11,112.13,-32.42,Fermi
211,647887414,2021-07-13,16:43:29,268.2,3.333,Fermi
212,647942198,2021-07-14,7:56:33,309.48,-52.73,Fermi
213,648024201,2021-07-15,6:43:16,300.233,-9.417,Fermi
214,648033323,2021-07-15,9:15:19,292.63,15.12,Fermi
215,648013726,2021-07-15,3:48:41,331.25,36.683,Fermi
216,648200771,2021-07-17,7:46:07,343.517,-37.25,Fermi
217,648302836,2021-07-18,12:07:12,271.2,38.667,Fermi
218,648278666,2021-07-18,5:24:22,289.983,19.483,Fermi
219,648359752,2021-07-19,3:55:47,205.98,-1.01,Fermi
220,648602917,2021-07-21,23:28:33,78.33,-72.44,Fermi
221,648680085,2021-07-22,20:54:41,24.69,-6.97,Fermi
222,648607756,2021-07-22,0:49:11,61.1,-17.967,Fermi
223,648744372,2021-07-23,14:46:07,118.89,-30.04,Fermi
224,648877628,2021-07-25,3:47:04,216.09,4.21,Fermi
225,648868114,2021-07-25,1:08:29,339.33,16.33,Fermi
226,648959581,2021-07-26,2:32:57,173.72,-18.32,Fermi
227,649072251,2021-07-27,9:50:47,190.56,-60.16,Fermi
228,649313854,2021-07-30,4:57:29,148.73,73.1,Fermi
229,649414102,2021-07-31,8:48:18,145.77,37.09,Fermi
230,649390368,2021-07-31,2:12:43,33.36,24.02,Fermi
231,649462872,2021-07-31,22:21:07,299.97,-26.56,Fermi
232,649519043,2021-08-01,13:57:19,252.88,-44.9,Fermi
233,649524889,2021-08-01,15:34:45,359.62,-24.84,Fermi
234,649627691,2021-08-02,20:08:06,229.92,30.3,Fermi
235,210802839,2021-08-02,20:08:06,230.9,29.846,Fermi
236,649684549,2021-08-03,11:55:44,218.69,-21.38,Fermi
237,649814537,2021-08-05,0:02:13,212.22,-63.22,Fermi
238,649833729,2021-08-05,5:22:05,56.05,17.8,Fermi
239,649980534,2021-08-06,22:08:50,57.183,40.917,Fermi
240,650064542,2021-08-07,21:28:57,28.583,68.767,Fermi
241,650032607,2021-08-07,12:36:43,256.22,-32.18,Fermi
242,650069729,2021-08-07,22:55:24,147.55,-51.44,Fermi
243,650046564,2021-08-07,16:29:20,273.983,-28.933,Fermi
244,650222555,2021-08-09,17:22:31,112.6,62.533,Fermi
245,650420156,2021-08-12,0:15:52,183.66,2.37,Fermi
246,650479626,2021-08-12,16:47:01,39.59,69.66,Fermi
247,650574044,2021-08-13,19:00:40,111.9,67.1,Fermi
248,650508868,2021-08-13,0:54:24,14.96,8.1,Fermi
249,650687034,2021-08-15,2:23:50,351.76,-31.53,Fermi
250,650912153,2021-08-17,16:55:49,91.833,46.5,Fermi
251,651110719,2021-08-20,0:05:14,264.81,65.35,Fermi
252,651225524,2021-08-21,7:58:40,326.1,15.317,Fermi
253,651224433,2021-08-21,7:40:29,49.34,-6.87,Fermi
254,651306769,2021-08-22,6:32:45,343.45,-46.3,Fermi
255,651320287,2021-08-22,10:18:02,155.767,5.883,Fermi
