,"Trig,SubNums",Date,Time UT,Mesg,RA,Dec,Error,Inten,Comments,Trig
201,"9239,0",2021-06-01,7:32:33,Weak,162.7698,77.1292,3.62,6.64,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9239
202,"9241,0",2021-06-01,8:57:06,Weak,151.9576,73.0348,3.77,6.15,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9241
203,"9247,0",2021-06-01,16:48:56,Weak,152.9724,72.6915,3.75,6.19,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9247
204,"9243,0",2021-06-01,9:30:20,Weak,142.4195,71.058,3.75,6.18,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9243
205,"9240,0",2021-06-01,7:35:05,Weak,177.0534,77.6634,3.7,6.33,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9240
206,"9238,0",2021-06-01,5:44:42,Weak,119.8394,77.2425,3.78,6.1,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9238
207,"9244,0",2021-06-01,12:35:55,Weak,156.8277,67.4178,3.72,6.28,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9244
208,"9245,0",2021-06-01,13:46:42,Weak,148.4182,62.4635,3.67,6.47,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9245
209,"9246,0",2021-06-01,15:08:08,Weak,145.8401,74.0757,3.58,6.76,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9246
210,"9242,0",2021-06-01,9:23:14,Weak,151.9123,68.757,3.77,6.14,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9242
211,"9249,0",2021-06-02,21:04:41,Weak,333.7817,-5.3752,3.63,6.53,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9249
212,"9251,0",2021-06-03,20:16:10,Weak,132.2208,69.4377,3.67,6.46,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9251
213,"9250,0",2021-06-03,0:35:42,Weak,329.2355,-15.7551,3.62,6.62,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9250
214,"9252,0",2021-06-03,21:06:14,Weak,138.9588,71.3795,3.67,6.45,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9252
215,"9255,0",2021-06-06,12:31:46,Weak,170.2466,-3.4071,3.73,6.22,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9255
216,"9254,0",2021-06-06,0:16:26,Weak,163.843,5.3692,3.47,7.19,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=25.0000 and Time_Error=25.0000. Possibly real GRB event (WEAK detection),9254
217,"9257,0",2021-06-07,16:19:27,Weak,324.5036,3.6562,3.47,7.22,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=2.0000 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9257
218,"9259,0",2021-06-09,5:14:02,Weak,324.8615,14.4019,3.7,6.33,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9259
219,"9260,0",2021-06-09,9:48:38,Weak,329.1286,14.143,3.65,6.52,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9260
220,"9262,0",2021-06-11,22:43:15,Weak,149.4857,72.1623,3.68,6.39,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9262
221,"9263,0",2021-06-12,2:21:46,Weak,149.1818,67.7615,3.63,6.55,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9263
222,"9264,0",2021-06-12,3:18:58,Weak,155.2702,67.0652,3.75,6.17,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9264
223,"9268,0",2021-06-16,4:43:30,Weak,125.5494,-28.454,3.63,6.56,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9268
224,"9270,0",2021-06-17,23:23:28,Weak,328.7749,-62.9074,3.42,7.45,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=2.0000 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9270
225,"9273,0",2021-06-19,19:39:11,Weak,322.1282,0.735,3.68,6.42,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9273
226,"9271,0",2021-06-19,18:45:32,Weak,320.4565,-1.8276,3.68,6.41,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9271
227,"9272,0",2021-06-19,19:02:43,Weak,320.277,-1.4635,3.7,6.36,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9272
228,"9274,0",2021-06-19,21:10:54,Weak,324.7433,5.5182,3.78,6.07,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9274
229,"9275,0",2021-06-20,23:59:22,Weak,197.3558,-4.6684,3.55,6.84,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9275
230,"9276,0",2021-06-22,10:24:12,Weak,198.9015,-23.5538,3.82,6.02,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9276
231,"9277,0",2021-06-25,19:07:37,Weak,295.6203,34.7659,3.58,6.74,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=25.0000 and Time_Error=25.0000. Possibly real GRB event (WEAK detection),9277
232,"9280,0",2021-06-27,19:48:53,Weak,194.3211,-62.1827,3.82,6.01,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9280
233,"9278,0",2021-06-27,18:12:21,Weak,185.0794,-63.0792,3.75,6.17,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9278
234,"9282,0",2021-06-27,23:45:16,Weak,185.6849,-56.4008,3.82,6.01,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. There is a bright star (mag=6.26) 8.75 arcmin from this position. Possibly real GRB event (WEAK detection),9282
235,"9279,0",2021-06-27,18:16:52,Weak,194.7099,-69.2745,3.57,6.82,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.0320 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9279
236,"9281,0",2021-06-27,20:58:43,Weak,158.6321,-76.7361,3.77,6.12,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9281
237,"9283,0",2021-06-28,2:42:53,Weak,191.5987,-58.4455,3.8,6.02,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9283
238,"9285,0",2021-06-30,13:51:15,Weak,122.8585,-20.5171,3.77,6.15,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9285
239,"9284,0",2021-06-30,12:21:00,Weak,111.9646,-22.6137,3.65,6.53,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9284
240,"9286,0",2021-06-30,14:54:14,Weak,126.1845,-28.8544,3.67,6.47,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.0320 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9286
