TrigNum,Date,Time UT,MesgType,RA,Dec,Error,Comments
665300433,2022/1/31,5:40:29,GBM Ground Position,68.8,-27.36,13.56,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_665300433.fits
665300433,2022/1/31,5:40:29,GBM Flight Position,75.117,-24.45,21.5,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 232.02,23.50 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
665300433,2022/1/31,5:40:29,GBM Flight Position,74.667,-24.4,24.95,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 232.02,23.50 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
665182655,2022/1/29,20:57:30,GBM Final Position,244.35,2.9,22.48,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
665182655,2022/1/29,20:57:30,GBM Ground Position,287.66,4.85,11.61,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_665182655.fits
665182655,2022/1/29,20:57:30,GBM Flight Position,283.583,13.2,23.3,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 139.70,-5.42 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
665110910,2022/1/29,1:01:46,GBM Flight Position,254.317,49.95,26.73,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 238.83,-7.00 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
665091042,2022/1/28,19:30:38,GBM Flight Position,277.667,-7.733,34.93,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 148.92,4.43 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664938050,2022/1/27,1:00:45,GBM Flight Position,39.317,79.767,27.18,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 138.55,-19.93 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664885461,2022/1/26,10:24:16,GBM Flight Position,300.867,-25.167,32.65,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 288.22,11.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664875088,2022/1/26,7:31:23,GBM Flight Position,311.517,-24.633,7.42,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 32.25,-15.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
